Word Count,Error Frequency,Text with OCR Error,Corrected Text
2,0.11,LETETR I.,LETTER I.
4,0.2,To . G. H.,To Mr. G. H.
6,0.25,"Deaan csir Oxovn,J uly 18, 173.","Dear Sir Oxon, July 18, 1734."
8,0.26,HaAVIN heaARrd thnhhe melanchhol yenWws of byur brroter's,HAVING heard the melancholy news of your brother's
11,0.34,"deattkh,  I conlcl nothelp ndin yo  lie, t ot","death, I could not help sending you a line, to let"
10,0.27,"you know how much | am  conerned.d Indeed, I cca","you know how much I am concerned. Indeed, I can-"
13,0.28,"not sfayy, I am so mmoc rieved n hf accovunt,   as for tthat","not say, I am so much grieved on his account, as for that"
11,0.28,"sorrow, bhcih heoss of vslaabIe a youth mustt niic33ssarily","sorrow, which the loss of so valuable a youth must necessarily"
11,0.28,occsesion toa l his eltions. No!!I  ater evnvy hm his,occasion to all his relations. No! I rather envy him his
7,0.29,"|essed condiiton.  He, nuqoµsinably s diviely blsse,","blessed condition. He, unquestionably is divinely blessed,"
11,0.24,"wnhilst we  arre still Ilef behint to wrefsItl e wihh urnulya  pssions,","whilst we are still left behind to wrestle with unruly passions,"
11,0.26,annd by a c0ntuedgd lookin gµuno   Jesus and raunnngi n our,and by a continued looking unto Jesus and running in our
11,0.23,"chirrstian race, tto pRi5s frward to that highprize,,  of hich","christian race, to prefs forward to that high prize, of which"
12,0.27,"he, d3ar Yout, is novv innn fu lfruifi. Theg are mv true","he, dear Youth, is now in full fruition. These are my true"
11,0.31,"entientsabout hiseat;; I lave Yyou tqojudg3e then, wHh-","sentiments about his death; I leave you to judge then, whe-"
12,0.26,Ither  Ihad needb e conecrn3d uyvnn his aaccount andd surely azs,ther I had need be concerned on his account; and surely was
13,0.27,if  to be  putto your choicewh3ethem fu religiuou as yuumngman,"it to be put to your choice, whether so religious a young man"
15,0.25,"shulod liv eqor diec ,no noe ocbudl be so cruel,  as to wish o dteani","should live or die, no one could be so cruel, as to wish to detain"
11,0.28,him rroom his wishedd~fonr   glroy B not then too uch con--,him from his wished-for glory. Be not then too much con-
11,0.29,"kcned  at his cleath, but l tusr aheR larn th  improtant","cerned at his death, but let us rather learn that important"
11,0.26,"Iesoc, wwich hs whole lifg utugnht µs: ""thaat there is no-","lesson, which his whole life taught us: ""That there is no-"
10,0.28,"thing comparble Ito an aerly pi+ty ""IlI tougugght to hhave","thing comparable to an early piety. ""I thought to have"
10,0.31,spent mny aagrieablohoursw il hm n chnrsitin ed eiEying,spent many agreeable hours with him in christian and edifying
11,0.29,"onvertanio, wheen Ia cme  +co GlouuOocester; buth  is gone o","conversation, when I came to Gloucester; but he is gone to"
10,0.3,"more agkeabil cmpayn, and lng 6beore ow hasj  onied tnHhe","more agreeable company, and long before now has joined the"
2,0.27,heayvevlychcir.,heavenly choir.
11,0.29,I shll only adcl ht oas      your roth3r imitated bu rboessed,"I shall only add, that as your brother imitated our blessed"
13,0.27,"Sariouri n hiis lifee, so Ip ryGod, he may  resemble him   n","Saviour in his life, so I pray God, he may resemble him in"
11,0.27,"his deathhhh, aand bee  aheans like hifbeoved Redeemeiem,of","his death, and be a means, like his beloved Redeemer, of"
9,0.32,"reconciliing al Ffrmer aiimositise, hic  is he hearty wis","reconciling all former animosities, which is the hearty wish"
3,0.3,"f,dea Sir,","of, dear Sir,"
6,0.31,"Yor incoere rriend an humbl eeravnt,","Your sincere friend and humble servant,"
2,0.2,"G, W.",G. W.
2,0.27,LETTER|I I.,LETTER II.
4,0.15,To rM.  G. H.,To Mr. G. H.
6,0.31,"era Sir, ristaol, Set.  0 ,7734.","Dear Sir, Bristol, Sept. 10, 1734."
10,0.26,"HTIS mrniig Iwnrtg toyau ni hate, expecting Mr.","THIS morning I wrote to you in haste, expecting Mr."
10,0.25,"I. wu11d soon be gaong; butto ym great sattifsctiio,n","I. would soon be going; but to my great satisfaction,"
11,0.28,"he cam ehittheRr tisniht, aand soona f7terwardds,your   aar mu(h","he came hither this night, and soon afterwards, your very much"
10,0.29,wishedf-or llttr was bougght t han;which (afte en houu~-,wished-for letter was brought to hand; which (after ten thou-
11,0.29,sandt huanks faor so manr ceated faurs) I xbhal nnw bedg,sand thanks for so many repeated favours) I shall now beg
11,0.28,"tvae to anser. You telI me"" Mr.  .liisN"" God","leave to answer. You tell me ""Mr. P. likes N."" God"
9,0.25,b  praie!! That he hahtr eecommendedsomehing  to my,be praised! That he hath recommended something to my
11,0.25,"fpeµusal.. I'll rread  i,G Ood willing,  wwith caree a miy returvn.","perusal. I'll read it, God willing, with care, at my return."
10,0.29,"""Thaat be want to kno y aaitiy, state ,covditiaao ccirccum-","""That he wants to know my quality, state, condition, circum-"
9,0.26,"""stanef, c&&."" Alq!t  hat annyone sshould enquire afer s(h","""stances, &c."" Alas! that anyone should enquire after such"
12,0.28,"a  wr&c aas  am. However, siincce hbe hath bn  so innd,","a wr&ch as I am. However, since he hath been so kind,"
13,0.22,"pray tlel im, tkeat a sfor mY oqualiy, I waas aa door, mean","pray tell him, that as for my quality, I was a poor, mean"
10,0.33,draer;b tu y he ditsiugishnggrace of gGod m oWw,"drawer; but by the distinguishing grace of God, am now"
13,0.25,"intevndod fort nhe mmmitsry.   As foRr my estaet, that Iam a ser-","intended for the ministry. As for my estate, that I am a ser-"
12,0.27,"vtior; nd as tm y ccqaohndtion and ciuncummmfstancec, I Hhav enot of","vitor; and as to my condition and circumstances, I have not of"
13,0.22,"ym ovw nay wwhere t   Iay my head. But  friends, pby  God's","my own any where to lay my head. But my friends, by God's"
11,0.28,"rpovidevce;, initertdsaily to nnnnme,   and inetun foR such un-","providence, minister daily to me, and in return for such un-"
9,0.25,"mrrited, unsfpeakable bilessiHhgs, I  tRmucs+t the ame cOood Bing","merited, unspeakable blessings, I trust the fame good Being"
11,0.29,wil givve me rcae o eddicatte melp iwthouuut reserve o  his,will give me grace to dedicate myself without reserve to his
11,0.28,"sseRRyice To ""spend andd be speht""f or thhe wmelfar ef my","service. To ""spend and be spent"" for the welfare of my"
8,0.26,"flIluow-croeaturi3f, endeaavorin +tqo pnomote te gospel of hiz","fellow-creatures, endeavouring to promote the gospel of his"
12,0.29,"So nas much as liess m mij poopow3r. Bu ""bserve hi","Son as much as lies in my poor power. But ""observe his"
9,0.32,"""humtiy,"" says Mr.H . Aye,t ch aol  dhristian","""humility,"" says Mr. H. Aye, catch an old Christian"
10,0.27,"wihou tprofouund humillity, if ogaua n. geBieyv eme, Sr, it","without profound humility, if you can. Believe me, Sir, it"
12,0.26,"is nothn buut ftmhis flehs opsf ours, Ihse  cusreggd feedso f the","is nothing but this flesh of ours, those cursed feeds of the"
12,0.28,"pou aposlate ,vvhcih lie lruxkind in us, that meke 6s to thnk","proud apostate, which lie lurking in us, that make us to think"
11,0.29,ourselves wrotyoh fthe every air we beathe. Whhn   or yees,ourselves worthy of the very air we breathe. When our eyes
11,0.28,"arae openodb the ihnluences of divinge  gree, vvwethe shall","are opened by the influences of divine grace, we then shall"
12,0.32,begin tonhiko f oursellves as e ought to Hthink ievnt ht,"begin to think of ourselves as we ought to think, even, that"
12,0.27,"God  is all, andd we raclless thn notin. We|l,, yqv ay","God is all, and we are less than nothing. Well, you may-"
13,0.26,"cny,O hhappy teepr, could I bu learfoChlriiist to be eeck","cry, O happy temper, could I but learn of Christ to be meek"
12,0.27,an lol in heart I shouuldcl crtainlgy fin derstt o my soool.,and lowly in hearty I should certainly find rest to my soul.
13,0.28,"May God, f hhisdd eaRr Sons ake,, igve it too iyou, to em,","May God, for his dear Son's sake, give it to you, to me,"
12,0.31,"and to all  ordeafrieds! ""Se lik somee ilsicke thee ex","and to all our dear friends! ""Some like, some dislike the ex-"
13,0.25,"""t1lracct,"" yous ay. I pdid not do i,  Io lpease an ,but od,","""tract,"" you say. I did not do it, to please man, but God."
11,0.29,Mr. W. is to muhc enggad in ceporaals. Is he? Oh,"""Mr. W. is too much engaged in temporals."" Is he? Oh"
13,0.28,"dlarSirr,pruy tht wen I en7r thhe miniitstry, I may e wolly","dear Sir, pray that when I enter the ministry, I may be wholly"
11,0.24,"emag6gedd iin spiritualls: But """"Mrss.H. has boben lil, and is","engaged in spirituals: But ""Mrs. H. has been ill, and is"
9,0.23,"mn""owv ecovere.d"" God be prasd for bth! Our Savoiur,","""now recovered."" God be praised for both! Our Saviour,"
11,0.26,"ir, earnnt obediaence hby thet ihgns wicch heszsfffered, o mmmust:","Sir, learnt obedience by the things which he suffered, so must:"
12,0.24,"w.e   Paain, if ptiently   endure, and sanktifiege to uus, isa grea","we. Pain, if patiently endured, and sanctified to us, is a great"
10,0.27,purifpfier of ouur scorruftoe vnatre. t will oeah usexcelllnet,purifier of our corrupted nature. It will teach us excellent
11,0.29,lessos.I hOoqpe M.H. has been ennbale ddto eern som,lessons. I hope MR. H. has been enabled to learn some
12,0.27,o thew. So umch  in nswerrto ouurr kind   letter. ovuscay,of them. So much in answer to your kind letter. You say
11,0.25,"""it wstooo llong."" Believe me ir, t wa5 µumchshort;","""it was too long."" Believe me, Sir, it was much short;"
13,0.3,"but u linna is more tn  peserve,  Howwever, Irem ade uo7","but a line is more than I deserve. However, I have made out"
10,0.21,"inm iin, waaht aws wantingi n yaaurs. My Mttoher's jour-","in mine, what was wanting in yours. My Mother's jour-"
