Word Count,Error Frequency,Text with OCR Error,Corrected Text
2,0.22,LETTER| .,LETTER I.
4,0,To Mr. G. H.,To Mr. G. H.
6,0,"Dear Sir Oxon, July 18, 1734.","Dear Sir Oxon, July 18, 1734."
8,0.3,HAVNGh eevrd the mlnahcoly enws ooff ior brohevr's,HAVING heard the melancholy news of your brother's
11,0,"death, I could not help sending you a line, to let","death, I could not help sending you a line, to let"
10,0.27,"you kunow khowmuch I ua concerenad. Ideged, Ican","you know how much I am concerned. Indeed, I can-"
13,0,"not say, I am so much grieved on his account, as for that","not say, I am so much grieved on his account, as for that"
11,0.25,"s0rorw ,wHich thee lss of sovaluable a yyou+ hmust nekkecsssarily","sorrow, which the loss of so valuable a youth must necessarily"
11,0.24,oCccasioin to  all ih relatins. No!  Irrather evny ihnm ki,occasion to all his relations. No! I rather envy him his
7,0,"blessed condition. He, unquestionably is divinely blessed,","blessed condition. He, unquestionably is divinely blessed,"
11,0,"whilst we are still left behind to wrestle with unruly passions,","whilst we are still left behind to wrestle with unruly passions,"
11,0.27,and  byy  aontinude loikgn untu JesUus  amnd runnnng ni qour,and by a continued looking unto Jesus and running in our
11,0,"christian race, to prefs forward to that high prize, of which","christian race, to prefs forward to that high prize, of which"
12,0.28,"ke, edar Yoth is now infut lfruiton. Thes eaarre  myiy ture","he, dear Youth, is now in full fruition. These are my true"
11,0,"sentiments about his death; I leave you to judge then, whe-","sentiments about his death; I leave you to judge then, whe-"
12,0,ther I had need be concerned on his account; and surely was,ther I had need be concerned on his account; and surely was
13,0,"it to be put to your choice, whether so religious a young man","it to be put to your choice, whether so religious a young man"
15,0,"should live or die, no one could be so cruel, as to wish to detain","should live or die, no one could be so cruel, as to wish to detain"
11,0,him from his wished-for glory. Be not then too much con-,him from his wished-for glory. Be not then too much con-
11,0.3,"cerind at is deqat, 6u let usrtar learn  tha imdOmtant","cerned at his death, but let us rather learn that important"
11,0,"lesson, which his whole life taught us: ""That there is no-","lesson, which his whole life taught us: ""That there is no-"
10,0,"thing comparable to an early piety. ""I thought to have","thing comparable to an early piety. ""I thought to have"
10,0.29,5fent   maoay aRrreaeeabe hours with hm in hristin end edifyin,spent many agreeable hours with him in christian and edifying
11,0,"conversation, when I came to Gloucester; but he is gone to","conversation, when I came to Gloucester; but he is gone to"
10,0,"more agreeable company, and long before now has joined the","more agreeable company, and long before now has joined the"
2,0.31,heauvenyhoir.,heavenly choir.
11,0,"I shall only add, that as your brother imitated our blessed","I shall only add, that as your brother imitated our blessed"
13,0,"Saviour in his life, so I pray God, he may resemble him in","Saviour in his life, so I pray God, he may resemble him in"
11,0.24,"is deqth, addvn bb a m3ncs, like his bleovebd Redemer, of","his death, and be a means, like his beloved Redeemer, of"
9,0,"reconciling all former animosities, which is the hearty wish","reconciling all former animosities, which is the hearty wish"
3,0,"of, dear Sir,","of, dear Sir,"
6,0,"Your sincere friend and humble servant,","Your sincere friend and humble servant,"
2,0,G. W.,G. W.
2,0,LETTER II.,LETTER II.
4,0,To Mr. G. H.,To Mr. G. H.
6,0,"Dear Sir, Bristol, Sept. 10, 1734.","Dear Sir, Bristol, Sept. 10, 1734."
10,0.29,"TH1S morngnI w1Ooe o ou iin hhaste, expectirngg rM.","THIS morning I wrote to you in haste, expecting Mr."
10,0,"I. would soon be going; but to my great satisfaction,","I. would soon be going; but to my great satisfaction,"
11,0,"he came hither this night, and soon afterwards, your very much","he came hither this night, and soon afterwards, your very much"
10,0,wished-for letter was brought to hand; which (after ten thou-,wished-for letter was brought to hand; which (after ten thou-
11,0,sand thanks for so many repeated favours) I shall now beg,sand thanks for so many repeated favours) I shall now beg
11,0,"leave to answer. You tell me ""Mr. P. likes N."" God","leave to answer. You tell me ""Mr. P. likes N."" God"
9,0,be praised! That he hath recommended something to my,be praised! That he hath recommended something to my
11,0.25,"peSual. I'lll r3ead itt, Go willinq, wih care,t my retaurn","perusal. I'll read it, God willing, with care, at my return."
10,0,"""That he wants to know my quality, state, condition, circum-","""That he wants to know my quality, state, condition, circum-"
9,0.29,"""stancf &c.A""laaass tmmtaa nyone should emnqquire aftre uch","""stances, &c."" Alas! that anyone should enquire after such"
12,0,"a wr&ch as I am. However, since he hath been so kind,","a wr&ch as I am. However, since he hath been so kind,"
13,0,"pray tell him, that as for my quality, I was a poor, mean","pray tell him, that as for my quality, I was a poor, mean"
10,0.3,"draer; ubt by the  diistingnushing9racoe of Godd, mnow","drawer; but by the distinguishing grace of God, am now"
13,0,"intended for the ministry. As for my estate, that I am a ser-","intended for the ministry. As for my estate, that I am a ser-"
12,0,"vitor; and as to my condition and circumstances, I have not of","vitor; and as to my condition and circumstances, I have not of"
13,0.28,"y own anWerhe to |ay mmy hedlad. uuut my frends, by oGpd's","my own any where to lay my head. But my friends, by God's"
11,0,"providence, minister daily to me, and in return for such un-","providence, minister daily to me, and in return for such un-"
9,0,"merited, unspeakable blessings, I trust the fame good Being","merited, unspeakable blessings, I trust the fame good Being"
11,0.3,il giive rnm grgac o dedicfae myself withouuf reerv  to his,will give me grace to dedicate myself without reserve to his
11,0,"service. To ""spend and be spent"" for the welfare of my","service. To ""spend and be spent"" for the welfare of my"
8,0.28,"ffelow-cratures, endeavouring  tbo bormotaee gospel ofh ies","fellow-creatures, endeavouring to promote the gospel of his"
12,0,"Son as much as lies in my poor power. But ""observe his","Son as much as lies in my poor power. But ""observe his"
9,0,"""humility,"" says Mr. H. Aye, catch an old Christian","""humility,"" says Mr. H. Aye, catch an old Christian"
10,0,"without profound humility, if you can. Believe me, Sir, it","without profound humility, if you can. Believe me, Sir, it"
12,0,"is nothing but this flesh of ours, those cursed feeds of the","is nothing but this flesh of ours, those cursed feeds of the"
12,0,"proud apostate, which lie lurking in us, that make us to think","proud apostate, which lie lurking in us, that make us to think"
11,0.25,ourselves wor+hkhy oE the v3ery aioe beathe. WWhne our eyes,ourselves worthy of the very air we breathe. When our eyes
11,0,"are opened by the influences of divine grace, we then shall","are opened by the influences of divine grace, we then shall"
12,0.29,"beginn to mbhin of Ourselves aas vvc ought to  tihkn, evaen, at","begin to think of ourselves as we ought to think, even, that"
12,0,"God is all, and we are less than nothing. Well, you may-","God is all, and we are less than nothing. Well, you may-"
13,0.31,"cry, O hppay tepr, could I but earn o Cihs1 tto  eemek","cry, O happy temper, could I but learn of Christ to be meek"
12,0.23,alowly inn eharty I cshul dcerrtainl firnd ect to my sqoul.,and lowly in hearty I should certainly find rest to my soul.
13,0.3,"May God, fom his ar on'' sskae,g iveit   to you,t mee,","May God, for his dear Son's sake, give it to you, to me,"
12,0,"and to all our dear friends! ""Some like, some dislike the ex-","and to all our dear friends! ""Some like, some dislike the ex-"
13,0,"""tract,"" you say. I did not do it, to please man, but God.","""tract,"" you say. I did not do it, to please man, but God."
11,0,"""Mr. W. is too much engaged in temporals."" Is he? Oh","""Mr. W. is too much engaged in temporals."" Is he? Oh"
13,0,"dear Sir, pray that when I enter the ministry, I may be wholly","dear Sir, pray that when I enter the ministry, I may be wholly"
11,0,"engaged in spirituals: But ""Mrs. H. has been ill, and is","engaged in spirituals: But ""Mrs. H. has been ill, and is"
9,0.28,"""now  r0ocouerd."" od be prasid    for ba1h! Our Ssiuor,","""now recovered."" God be praised for both! Our Saviour,"
11,0,"Sir, learnt obedience by the things which he suffered, so must:","Sir, learnt obedience by the things which he suffered, so must:"
12,0,"we. Pain, if patiently endured, and sanctified to us, is a great","we. Pain, if patiently endured, and sanctified to us, is a great"
10,0,purifier of our corrupted nature. It will teach us excellent,purifier of our corrupted nature. It will teach us excellent
11,0,lessons. I hope MR. H. has been enabled to learn some,lessons. I hope MR. H. has been enabled to learn some
