Word Count,Error Frequency,Text with OCR Error,Corrected Text
2,0.22,|EITER I.,LETTER I.
4,0.08,To Mr. 6. H.,To Mr. G. H.
6,0.21,"0ear 8ir Oxon, Jvlv I8, 1t34.","Dear Sir Oxon, July 18, 1734."
8,0.2,HAV1NG heapb ihE Melancholy new5 of yöuR bRother's,HAVING heard the melancholy news of your brother's
11,0.18,"death, I c0ulb not help sENdin9 You a line, T0 lef","death, I could not help sending you a line, to let"
10,0.21,"yoU knöw h0w nuch 1 ah coNcErneo. Indeed, I can-","you know how much I am concerned. Indeed, I can-"
13,0.12,"not sAy, | am so mUch grieved oh hiş account, as fOr ihat","not say, I am so much grieved on his account, as for that"
11,0.19,"sorrow, which the losS of 5o vrluab1e a yöUth MVSt necessarily","sorrow, which the loss of so valuable a youth must necessarily"
11,0.16,oogasiOh to all his relaTions. No! I rathbr fhvy hirn his,occasion to all his relations. No! I rather envy him his
7,0.19,"blessfD condition. HB, unqueStionadly is DiUinely b1essfd,","blessed condition. He, unquestionably is divinely blessed,"
11,0.17,"whil5t we are sfil1 leFt behind tö wrestlE with UnrulY passioms,","whilst we are still left behind to wrestle with unruly passions,"
11,0.14,and by a coniinued Iooking umto Jesus ahd runniMg iN 0ur,and by a continued looking unto Jesus and running in our
11,0.18,"chrisiiaN rrce, to prefs forWrkd to thaf high pKize, of which","christian race, to prefs forward to that high prize, of which"
12,0.16,"he, bear Yöufh, is how in full truiti0h. These are mY irue","he, dear Youth, is now in full fruition. These are my true"
11,0.2,"senfimehts abovT hi5 deafh; I leave YOu to jUdge ihen, uhe-","sentiments about his death; I leave you to judge then, whe-"
12,0.22,fher I hro nEed be ConcerneD on his r0covnt; and supely w4ş,ther I had need be concerned on his account; and surely was
13,0.16,"iT tö be put t0 your choige, wheTher şo reli9ious a yoünq mAn","it to be put to your choice, whether so religious a young man"
15,0.18,"shouId liwe Dr bie, no onE cou|o be so cruel, aS to wish io dbTain","should live or die, no one could be so cruel, as to wish to detain"
11,0.18,him fr0m his Wi5hed-for glorY. Be noi then ioo much o0n-,him from his wished-for glory. Be not then too much con-
11,0.2,"cerneD at his dbafh, but let u5 raeher 1earm thRt impORtant","cerned at his death, but let us rather learn that important"
11,0.17,"IeşsoN, whiçh his whole life iaughi us: ""That thEbb iş no-","lesson, which his whole life taught us: ""That there is no-"
10,0.2,"thing cDMdarablE tD an early pieti. ""I thought i0 havb","thing comparable to an early piety. ""I thought to have"
10,0.13,spehi mahy agreeaB|e hours with hirn in chriştian rnd edifying,spent many agreeable hours with him in christian and edifying
11,0.19,"gonversaTion, when l CaNe to Gloucester; but he is gohe to","conversation, when I came to Gloucester; but he is gone to"
10,0.22,"WokE agreEablb company, ahd |ong bfföre now has j0ined the","more agreeable company, and long before now has joined the"
2,0.27,hfawen|y chöir.,heavenly choir.
11,0.2,"I shaIl only add, thai As your brOthbR irnit9ted ouR blESsed","I shall only add, that as your brother imitated our blessed"
13,0.19,"SauiOup in his life, so I prav g0d, hf mai rEsbmble him im","Saviour in his life, so I pray God, he may resemble him in"
11,0.18,"hi5 deafh, And be a means, like his Belöued redeeMeR, of","his death, and be a means, like his beloved Redeemer, of"
9,0.25,"rFcoNgiling all former 9nirnositifs, which is The htAbty wish","reconciling all former animosities, which is the hearty wish"
3,0.15,"0t, dear Sir,","of, dear Sir,"
6,0.23,"YouP sincere friend ahD hunb1e seRv4Nt,","Your sincere friend and humble servant,"
2,0.2,6. W.,G. W.
2,0.3,LBTTER II.,LETTER II.
4,0.25,To Mk. q. H.,To Mr. G. H.
6,0.24,"Dear Sir, BriSt0l, Sept. 10, 173a.","Dear Sir, Bristol, Sept. 10, 1734."
10,0.16,"THIS morning I wroTE to yöU in hasie, exBectinq Mr.","THIS morning I wrote to you in haste, expecting Mr."
10,0.19,"I. woulo sdon be going; but iO my 4reai satisfAction,","I. would soon be going; but to my great satisfaction,"
11,0.18,"hE came hiiher ihiS Night, and soon afterwaros, your veky mwch","he came hither this night, and soon afterwards, your very much"
10,0.23,uished-for lfTier wa5 pRouqht t0 h4nd; vhich (Aftbr ten th0u-,wished-for letter was brought to hand; which (after ten thou-
11,0.25,sand thrnks For so nany reperted fAwOürs} I 5hal1 mow 8eg,sand thanks for so many repeated favours) I shall now beg
11,0.14,"leave to ansuer. Vou tbll me ""Wr. P. 1ixbs N."" God","leave to answer. You tell me ""Mr. P. likes N."" God"
9,0.21,bE praised! ThaT hb hath recömMFNoed something tö ny,be praised! That he hath recommended something to my
11,0.15,"perus4l. 1'll read it, God villing, with care, 4t ni returN.","perusal. I'll read it, God willing, with care, at my return."
10,0.23,"""Ihat he uanfş to xnow my quality, stgte, coNdiTi0n, circun-","""That he wants to know my quality, state, condition, circum-"
9,0.1,"""stahces, &ç."" Alas! that anyone Should enquipe after such","""stances, &c."" Alas! that anyone should enquire after such"
12,0.21,"a wk&Ch as I am. HouEVbr, siNce he hath beeH sö xind,","a wr&ch as I am. However, since he hath been so kind,"
13,0.25,"prav EeIl him, thrt as for My pua|ity, 1 wa5 a pook, mean","pray tell him, that as for my quality, I was a poor, mean"
10,0.17,"dbawbk; Bui by the distinguishihg qrace of God, am now","drawer; but by the distinguishing grace of God, am now"
13,0.23,"inibnded eor the mini5Tpy. As for mi estaie, thrt l arn a seb-","intended for the ministry. As for my estate, that I am a ser-"
