Word Count,Error Frequency,Text with OCR Error,Corrected Text
2,0.22,1EtTER I.,LETTER I.
4,0,To Mr. G. H.,To Mr. G. H.
6,0.14,"dear Sir OxoN, JUly 18, l734.","Dear Sir Oxon, July 18, 1734."
8,0,HAVING heard the melancholy news of your brother's,HAVING heard the melancholy news of your brother's
11,0.16,"bfath, L could not heIp sfnding you a line, t0 let","death, I could not help sending you a line, to let"
10,0.19,"y0u knov hoW mUch I arn conCerned. |ndeEd, | can-","you know how much I am concerned. Indeed, I can-"
13,0.26,"not saY, L am so much 9rievbd oN his aCcDumt, 45 for th4T","not say, I am so much grieved on his account, as for that"
11,0.18,"sorrOw, which Thb loss Ot so v4luAble a youth mu5t Necess4rily","sorrow, which the loss of so valuable a youth must necessarily"
11,0.16,occasiOn to rl1 his relations. Nö! l baTher envy him his,occasion to all his relations. No! I rather envy him his
7,0.24,"bleSseo CoNdition. He, umquestioN4blw is divimely D|e5sed,","blessed condition. He, unquestionably is divinely blessed,"
11,0.27,"whil5t We are still 1eft 8ehirno to UResile with unrulv Passions,","whilst we are still left behind to wrestle with unruly passions,"
11,0.21,ano bv A coMTinued Iooking unio Jesus ahd runnin9 in ovr,and by a continued looking unto Jesus and running in our
11,0.18,"chrisfian raoe, io prees fObwabd tO fhat hiqh prize, 0f which","christian race, to prefs forward to that high prize, of which"
12,0,"he, dear Youth, is now in full fruition. These are my true","he, dear Youth, is now in full fruition. These are my true"
11,0,"sentiments about his death; I leave you to judge then, whe-","sentiments about his death; I leave you to judge then, whe-"
12,0.22,thbr I hrd nefo be cöncfrneD on his accOUnt; ahd surely was,ther I had need be concerned on his account; and surely was
13,0.23,"it to be put To yOup Choi9e, whether sO re1iGiouş a yQUng Man","it to be put to your choice, whether so religious a young man"
15,0.24,"shöu|d liVE ör bie, No One could pe 5o crue1, 4S to uish t0 deiain","should live or die, no one could be so cruel, as to wish to detain"
11,0.2,him from hiS vishbd-för globY. De nOT then too much con-,him from his wished-for glory. Be not then too much con-
11,0.2,"cbrnbd at his dFath, but Iff us rafher leArn thaf impoRtrnt","cerned at his death, but let us rather learn that important"
